AAB	ABELAG AVIATION	ABELAG
NFT	NEFTEYUGANSK AVIATION DIVISION	NEFTEAVIA
NFX	NETFLIX, INC.	SUNSET
NGA	W A A C (NIGERIA) LTD. - NIGERIA AIRWAYS	NIGERIA
NGB	NORDIC GLOBAL AIRLINES OY	NORDIC GLOBAL
NGC	ANGOSERVICE, LDA.	ANGOSERVICE
NGE	ANGEL AIRLINES COMPANY LTD	ANGEL AIR
NGF	AIR CHARITY NETWORK (VIRGINIA BEACH, VA)	ANGEL FLIGHT
NGL	MAX AIR LIMITED	MAXAIR NIGERIA
NGN	LEAV	YODA
NGO	AIR-ANGOL SOCIEDAD AERONAUTICA, LDA	AIR ANGOL
NGP	AIR NIGERIA PLC	REGAL EAGLE
NGR	NIGERIAN AIR FORCE	NIGERIAN AIRFORCE
NGT	AIR DILIJANS	NIKA
NGV	ANGOAVIA	ANGOAVIA
NGX	NIGERIAN GLOBAL	AIR GLOBAL
NHC	NORTHERN HELICOPTER GMBH, EMDEN	NORTHERN
NHD	NHV A/S	NEMO
NHE	NORD HELIKOPTER	NORD
NHG	NHT LINHAS AEREAS LTDA.	HELGA
NHK	UNITED STATES GOVERNMENT, FEDERAL AVIATION ADMINISTRATION	NIGHTHAWK
NHL	NORTHUMBRIA HELICOPTERS LIMITED	NORTHUMBRIA
NHT	NEW HEIGHTS 291 (PTY) LTD	NEWHEIGHTS
NHX	NOORDZEE HELIKOPTERS VLAANDEREN	EVO
NHZ	NHV HELICOPTERS LTD	GOLD
NIA	NILE AIR	NILE BIRD
NIE	AEROEJECUTIVA NIETO, S.A. DE C.V.	AERONIETO
NIG	AERO CONTRACTORS COMPANY OF NIGERIA LTD.	AEROLINE
NIM	AIRNIMBUS	NIMJET
NIN	NIGER AIRLINES	NIGER AIRLINES
NIR	NORSK FLYTJENESTE AS	NORSEMAN
NIS	NICARAGUENSE DE AVIACION,S.A (NICA)	NICA
NIT	MIDDLE GEORGIA STATE UNIVERSITY (MACON, GA)	NIGHTTRAIN
NJA	NEW JAPAN AVIATION CO., LTD	SHIN NIHON
NJC	NASHVILLE JET CHARTERS, INC. (NASHVILLE, TN)	NASHVILLE JET
NJE	NETJETS, TRANSPORTES AEREOS S.A.	FRACTION
NJF	NETJETS MIDDLE EAST	SUNJET
NJM	NORTHERN JET MANAGEMENT	NORTHERN JET
NJR	NORJET, S.A. DE C.V.	NORJET
NJS	NATIONAL JET SYSTEMS GROUP	NATIONAL JET
NJT	NETJET INTERNATIONAL (EAST GRANBY, CT)	NETJET
NJU	NETJETS AIR TRANSPORT UK LIMITED	ARTISAN
NJZ	CORPORATE AIR TRAVEL, LLC	NEOJET
NKA	ANKA AVIATION CARGO	ANKA CARGO
NKF	SCANDINAVIAN AIR AMBULANCE AB	NORDFLIGHT
NKH	NORSK HELIKOPTERSERVICE AS	HELINOR
NKP	ABAKAN AIR	ABAKAN AIR
NKS	SPIRIT AIRLINES, INC. (EASTPOINTE, MI)	SPIRIT WINGS
NKT	NORTH COUNTRY AVIATION, INC. (GAYLORD, MI)	NORTH COUNTRY
NKV	NIKOLAEV-AIR, AIRLINE OF SPECIAL PURPOSE	AIR NIKOLAEV
NKY	AEROMONKY, S.A. DE C.V.	AEROMON
NKZ	AEROKUZBASS LTD	NOVOKUZNETSK
NLA	PENINSULA AIRWAYS, INC. (ANCHORAGE, AK)	PENINSULA
NLE	FAA-WJH TECHNICAL CENTER AIR SHUTTLE PROGRAM	NELLIE
NLF	WESTAIR AVIATION INC.	NORTHERN LIFE
NLH	NORWEGIAN LONG HAUL AS	NORSTAR
NLI	NORTHERN AIR CHARTER (P.R.) INC.	NORTH LINK
NLK	ELBRUS-AVIA AIR ENTERPRISE	ELAVIA
NLL	NORTH AFRICAN AIR TRANSPORT	NORTHAFRICAN AIR
NLP	NORTHERN AVIATION COMPANY LIMITED	NORAV
NLS	NATIONALE LUCHTVAARTSCHOOL B.V.	PANDER
NLU	INSEL AIR INTERNATIONAL	INSEL ARUBA
NLV	NEW LIVINGSTON S.P.A.	SEAGULL
NLW	NILE WINGS AVIATION SERVICES	NILE WINGS
NLY	NIKI LUFTFAHRT GMBH	FLYNIKI
NMA	NESMA AIRLINES	NESMA
NMB	AIR NAMIBIA (PTY) LTD	NAMIBIA
NMD	NOMAD AVIATION (PTY) LTD T/A BAY AIR AVIATION	NOMAD AIR
NME	NAMASTE AIR PVT. LTD	NAMASTE AIR
NMG	GENGHIS KHAN AIRLINES CO., LTD.	TIANJIAO AIR
NMI	PACIFIC WINGS (PAIA, HI)	TSUNAMI
NML	GAMBIA NEW MILLENNIUM AIR	NEWMILL
NMR	NAMIBIA RESCUE SERVICES	E-MED
NOA	NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION (TAMPA, FL)	NOAA
NOB	NOBISAIR AB	SWEDLINE
NOC	NORCOPTER AS	NORCOPTER
NOD	FLY ADJARA	ADJARA
NOF	FONNAFLY SJO AS	FONNA
NOH	32 (TR) SQUADRON, RAF NORTHOLT	NORTHOLT
NOJ	NOVAJET (2106701 ONTARIO INC.)	NOVAJET
NOK	NOK AIRLINES PUBLIC CO., LTD	NOK AIR
NOL	NATIONAL OVERSEAS AIRLINES COMPANY	NAT AIRLINE
NOR	BRISTOW NORWAY AS	NORSKE
NOS	NEOS S.P.A.	MOONFLOWER
NOT	LINEA AEREA COSTA NORTE S.A.	COSTA NORTE
NOU	NORDIC UNMANNED AS	NORDUN
NOV	NOVA AIRWAYS	NOVANILE
NOW	ROYAL NORWEGIAN AIR FORCE	NORWEGIAN
NOX	NORTH EXPRESS AB	NORTH EXPRESS
NOY	MERHAV MNF	NOY AVIATION
NOZ	NORWEGIAN AIR SHUTTLE AOC AS	NORDIC
NPC	WESTERN AIR COURIERS, INC. (PORT ORCHARD, WA)	NORPAC
NPG	SUPERNOVA AIRLINES LLC	NOVA
NPL	AIR NEPAL INTERNATIONAL	AIR NEPAL
NPO	NOVOSIBIRSK AVIATION PRODUCTION ASSOCIATION	NOVSIB
NPR	AIR NAPIER LIMITED	AIR NAPIER
NPT	WEST ATLANTIC UK LIMITED	NEPTUNE
NQN	GRUPO LASA SRL	LASA
NRA	NOAR LINHAS AEREAS	AIRNOAR
NRK	NATURELINK CHARTER (PTY) LTD	NATURELINK
NRL	NOLINOR AVIATION	NOLINOR
NRN	ROYAL NETHERLANDS NAVY (KONINKLIJKE MARINE)	NETHERLANDS NAVY
NRO	AERO RENT, JOINT-STOCK COMPANY	AEROMASTER
NRP	AERONORD-GRUP	AERONORD
NRR	NATUREAIR	NATUREAIR
NRS	NORWEGIAN AIR UK LTD.	REDNOSE
NRT	NORESTAIR, S.L.	NORESTAIR
NRW	POLIZEIFLIEGERSTAFFEL NORDRHEIN-WESTFALEN, DUESSELDORF	HUMMEL
NRX	NORSE AIR CHARTER	NORSE AIR
NRZ	SERVICIOS AEREOS MONARREZ, S.A. DE C.V.	MONARREZ
NSA	NILE SAFARIS AVIATION	NILE SAFARIS
NSC	SOCIETE DE TRANSPORT AERIEN DE MAURITANIE	TRANS-SOCIETE
NSE	SATENA, SERVICIOS DE AERONAVEGACION A TERRITORIOS NAC	SATENA
NSF	NORTHAMPTONSHIRE SCHOOL OF FLYING LTD	NORTON
NSH	STERLING AVIATION LLC	NORTH-SHORE
NSI	NORTHERN SKIES AVIATION, INC. (LAUREL, MT)	NORTHERN SKIES
NSJ	NANSHAN JET CO., LTD	NANSHAN
NSK	AIR INTERSALONIKA	INTERSALONIKA
NSL	NERIC LIMITED	NERICAIR
NSM	GLOBAL JET CORPORATION (SCOTTSDALE, AZ	THUNDERCLOUD
NSO	AEROLINEAS SOSA S.A.	SOSA
NSP	SAMARITAN'S PURSE	SAM PURSE
NSR	NINE STAR AIRWAYS CO. LTD.	AIR STAR
NSS	NESMA AIRLINES SAUDI ARABIA	NESMA CONNECT
NST	PAKISTAN AVIATORS & AVIATION (PVT) LTD	NISHAT
NSW	NORWEGIAN AIR SWEDEN AB	NORDIC
NSY	SHANDONG NANSHAN INTERNATIONAL FLIGHT CO., LTD	QUNYING
NSZ	NORWEGIAN AIR SWEDEN AOC AB	REDNOSE
NTA	NORTHERN THUNDERBIRD AIR LTD.	THUNDERBIRD
NTB	TRANSPORTES INTERILHAS DE CABO VERDE, SOCIEDADE UNIPESSOAL, SA. TICV	MORABEZA
NTC	GIBSON AVIATION (EAU CLAIRE, WI)	NIGHT CHASE
NTF	OK AVIATION WINGS	NETFLIGHT
NTG	SERVICIOS INTEGRALES DE AVIACION, S.A. DE C.V.	INTEGRALES
NTH	HOKKAIDO AIR SYSTEM CO., LTD	NORTH AIR
NTJ	NEXTJET	NEXTJET
NTK	NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION (NATCA)	NATCA
NTL	AIR ANATOLIA (ANADOLU HAVACILIK A.S.)	AIR ANATOLIA
NTN	NATIONAL AIRWAYS CORPORATION (PTY.) LTD.	NATCHAIR
NTR	NATIREVA	NATIREVA
NTS	CIRRUS AIR, INC. (DALLAS, TX)	NITE STAR
NTT	INTER TROPIC AIRLINES (S.L.) LTD	INTER-TROPIC
NTW	MAXAIR, LLC	NORTHWOODS
NTX	AK-AIR GEORGIA	TIFLIS
NUA	PRIVATE AIRLINE SERVICES LTD	UNITED NIGERIA
NUB	NOMAD AVIATION (EUROPE) LTD	VALLETTA
NUK	STRAIT AIR (2000) LTD	NANUCK
NUL	AEROSERVICIOS DE NUEVO LEON, S.A. DE C.V.	SERVICIOS NUEVOLEON
NUM	NOMAD AVIATION AG	NOMADJET
NUS	NORTHERN ILLINOIS FLIGHT CENTER, INC. (LAKE IN THE HILLS, IL)	ENJET
NVC	NAV CANADA	NAV CAN
NVD	AVION EXPRESS	NORDVIND
NVI	AVIAL NV LTD, AVIATION COMPANY	NEW AVIAL
NVJ	FLY INTERNATIONAL AIRWAYS	NOUVINTER
NVK	NIZHNEVARTOVSKAVIA	VARTOVSKAVIA
NVM	NAVIERA MEXICANA, S.A. DE C.V.	NAVIERA
NVO	ENVUELO, S.L.	ENVUELO
NVQ	NOVO AIR	NOVO AIR
NVR	NOVA AIRLINES AB	NAVIGATOR
NVS	NOUVELLE AIR AFFAIRES GABON	NOUVELLE AFFAIRES
NVT	NATIVE AMERICAN AIR AMBULANCE, INC. (MESA,AZ)	NATIVE
NVY	ROYAL NAVY	NAVY
NWA	NIGER AIRWAYS	SOLEIL NIGER
NWB	NIGERIA AIR	NIGERIA AIR
NWC	AIRCOMPANY NORTH-WEST LLC	WEST WAY
NWD	NEW WORLD JET CORPORATION (RONKONKOMA, NY)	NEW WORLD
NWF	NORTHWEST FLYERS, INC. (SCHAUMBURG,IL)	SECOND CITY
NWG	AIRWING AS	NORWING
NWH	NORTHERN WINGS SA	NORTHERN WINGS
NWK	NETWORK AVIATION AUSTRALIA	NETLINK
NWL	NORTH WRIGHT AIR LTD	NORTHWRIGHT
NWS	NORD WIND LLC	NORDLAND
NWT	NORTHWEST TERRITORIAL AIRWAYS	TERRITORIAL
NWW	NORTH WEST AIRLINES T/A HALANT INTERNATIONAL PTY LTD	HALANT
NWY	NEW WAY CARGO AIRLINES LLC	NEW WAY CARGO
NWZ	NATIONWIDE AIRLINES (ZAMBIA) LIMITED	ZAMNAT
NXA	NXT AIR LTD	NEXT AIR
NXN	NEXTON, S.A. DE C.V.	NEXTON
NXS	NEXUS AVIATION LIMITED	NEXUS AVIATION
NXT	NEXTNET	NEXTNET
NXU	NEXUS FLIGHT OPERATIONS SERVICES	NEXUS
NYA	NANYAH AVIATION LTD	NANYAH
NYB	FORCE NAVALE BELGE	BELGIAN NAVY
NYL	MID AIRLINERS	NILE
NYS	NYASA EXPRESS	NYASA
NYT	YETI AIRLINES (DOMESTIC)	YETI AIRLINES
NYX	NYXAIR OU	NYX AIR
NZA	NAYZAK AIR TRANSPORT	NAYZAK AIR
NZM	MOUNT COOK AIRLINES LTD	MOUNTCOOK
OAB	OSH AIR	OSH AIR
OAC	ORIENTAL AIRLINES LIMITED	ORIENTAL AIR
OAD	ORSCOM TOURIST INSTALLATIONS COMPANY	ORSCOM
OAE	OMNI AIR INTERNATIONAL, INC. (TULSA, OK)	OMNI-EXPRESS
OAI	TOR AIR AB	TORLINE
OAL	OLYMPIC AIR	OLYMPIC
OAN	NATO NORTH ATLANTIC TREATY ORGANISATION	OTAN
OAO	ARKHANGELSK 2 AVIATION DIVISION	DVINA
OAP	COAPA AIR, S.A. DE C.V.	COAPA
OAR	GRUPO ONE AIR AVIACION S.L.	BOSS AIR
OAS	OASIS FLIGHT LTD	ORCHID
OAV	OMNI - AVIACAO E TECNOLOGIA, LDA	OMNI
OAW	HELVETIC AIRWAYS AG	HELVETIC
OBA	AEROBANANA, S.A. DE C.V.	AEROBANANA
OBC	OLYMPIC BROADCASTING SERVICES	OLYCAM
OBJ	COMUNICACION GLOBAL OBJETIVO, S.L.	OBJETIVO
OBK	AMAKO AIRLINES LIMITED	AMAKO AIR
OBS	ORBEST	ORBEST
OBT	VIRGIN ORBIT	COSMIC GIRL
OCA	AEROSERVICIOS CARABOBO, C.A. (ASERCA)	AROSCA
OCE	HELICOCEAN	HELIOCEAN
OCJ	OVERSTAR S.R.L.	OVERSTAR
OCL	OCL BARBADOS LTD	SOCA
OCN	EW DISCOVER GMBH	OCEAN
OCO	OSTEND AIR COLLEGE	AIR COLLEGE
OCS	OCEAN SKY (UK) LTD	OCEANSKY
ODI	JONSSON, H. AIR TAXI	ODINN
ODM	PAN AFRICAN AIRWAYS LTD	JETAFRICA
ODS	ODESSA AIRLINES	ODESSA AIR
OEA	ORIENT THAI AIRLINES	ORIENT THAI
OED	ORION AIR CHARTER	ORION CHARTER
OES	ART AVIATION FLUGBETRIEBS GMBH	ART AUSTRIA
OEW	ONE AIRWAYS	DREAMER
OEY	RIMBUN AIR	RIMBUN AIR
OFA	HELITAXI OFAVI, S.A. DE C.V.	OFAVI
OFF	CHALLENGE INTERNATIONAL AIRLINES (MIAMI, FL)	CHALLENGE AIR
OFL	OPEN FLIGHT	OPEN FLIGHT
OFT	BUFFALO RIVER AIRCRAFT SERVICES, LLC	OUTFITTER
OFY	SERVICIOS AEREOS SOFFLY, S.A. DE C.V.	AEROSOF
OGA	OASIS AIR	OASIS AIR
OGI	AEROGISA, S.A. DE C.V.	AEROGISA
OGJ	BAKOJI AIRLINES SERVICES LTD	BAKO AIR
OHC	JET-SELECT (COLOMBUS OH)	OHIO-CHARTER
OHS	ODENGENE AIR SHUTTLE SERVICES LIMITED	ODENGENE
OHY	ONUR HAVA TASIMACILIK AWMS	ONUR AIR
OIX	ORION-X	ORIONIX
OJO	ONEJETONE AIRWAYS	OHJOH
OJT	ORYXJET LTD	ORYSTAR
OJY	FLORIDA AIR, INC. (FT. LAUDERDALE, FL)	OHJAY
OKA	OKAY AIRWAYS COMPANY LIMITED	OKAYJET
OKC	PRIVATE JETS, INC.	THUNDER WINGS
OKJ	OKADA AIRLINES LIMITED	OKADA AIR
OKL	OKLAHOMA DEPARTMENT OF PUBLIC SAFETY, TROOP "O" (BETHANY, OK)	OKLAHOMA
OKP	OKAPI AIRWAYS	OKAPI
OKS	SLOK AIR INTERNATIONAL (GAMBIA) LIMITED	SLOK GAMBIA
OKT	SOKO AVIATION, S.L.	SOKO AIR
OLA	OVERLAND AIRWAYS LIMITED	OVERLAND
OLC	SOLAR CARGO C.A.	SOLARCARGO
OLD	BEIJING ORENDA TRIBE GENERAL AVIATION CO., LTD.	AIR ORENDA
OLE	OPERADORA DE LINEAS EJECUTIVAS, S.A. DE C.V.	OPERADORA
OLL	OPERADORA LLAMINMEX, S.A. DE D.V.	MINMEX
OLO	SOLOFLIGHT	SOLO
OLR	COLAEREOS	COLAEREOS
OLS	SOL S.A. LINEAS AEREAS	FLIGHT SOL
OLT	OLT EXPRESS GERMANY GMBH, BREMEN	OLTRA
OLV	GA FLIGHT OF DE, INC. D/B/A AIRSTAR (SWAINSBORO, GA)	OLIVIA
OLY	OLYMPUS AIRWAYS	OLYAIR
OMA	OMAN AIR	OMAN AIR
OMB	OMNI - BLU AVIATION	OMNIBLU
OMD	NOMADIC AVIATION GROUP	NOMADIC
OME	OMEGA AERIAL REFUELING SERVICES, INC.	OMEGA TANKER
OMF	OMNISKY, S.A. DE C.V.	OMNIFLYS
OMG	AEROMEGA LTD	OMEGA
OMI	OMNI TAXI AEREO S.A.	OMNI AIR
OML	ORGANIZACOES MAMBRA, LDA	MAMBRA
OMN	SERVICIOS AEREOS OMINIA, S. DE R.L. DE C.V.	SERVIOMNIA
OMR	MINAIR	ORMINE
OMS	SALAM AIR	MAZOON
ONE	OCEANAIR - LINHAS AEREAS LTDA.	OCEANAIR
ONG	SONNIG SA	SONNIG
ONI	OMNI AVIATION TRAINING CENTER	OMNI TRAINING
ONO	AERONOR, S.A. DE C.V.	NORAERO
ONR	AIR ONE NINE TRANSPORT	EDER
ONS	ONE AIRLINES	AIR DREAMS
ONT	GOVERNMENT OF ONTARIO	ONTARIO GOVERNMENT
ONX	AIR ONIX	ONIXAIR
ONY	25ONLY AVIATION GMBH	ONLY JET
OOM	ZOOM AIRLINES INC.	ZOOM
OOT	OUT OF THE BLUE AIR SAFARIS (PTY) LTD	OOTBAS
OPC	KRYSTEL AIR CHARTER LTD	OPTIC
OPJ	OPERA JET S.R.O.	OPERA JET
OPM	FIREBLADE AVIATION (PTY) LTD.	OPTIMA
OPN	K & R AVIATION, LLC	OPEN AIR
OPR	OPERACIONES AVIACORE SA DE CV	AVIACORE
OPS	JET-OPS	OPS-JET
OPT	FLIGHT OPTIONS (JOHNSON CITY, NY)	OPTIONS
OPV	OPERADORA DE VUELOS EJECUTIVOS, S.A. DE C.V.	OPERADORA DE VUELOS
ORA	MONTAUK CARIBBEAN AIRWAYS, INC. D/B/A LONG ISLAND AIRLINES	LONG ISLAND
ORB	orbit	orbit
ORC	ORIENTAL AIR BRIDGE CO., LTD	ORIENTAL BRIDGE
ORD	ORANGE AIR SERVICES LIMITED	ORANGE SERVICES
ORE	ORANGE AVIATION	ORANGE AVIATION
ORF	OMAN ROYAL FLIGHT	OMAN
ORG	STATE UNITARY ENTERPRISE ORENBURG REGION, INTERNATIONAL AIRPORT ORENBURG	ORENAVIA
ORH	ORSHA AIR	ORSHA
ORI	ORIONAIR S.L	RED GLOBE
ORJ	ORANGE AIR SIERRA LEONE LTD	ORANGE SIERRA
ORK	ORCA AIRWAYS LTD	ORCA
ORN	ORANGE AIR LLC (SANFORD, FL)	ORANGE JET
ORO	CNAIR, S.A.	CAPRI
ORR	OPERADORA TURISTICA AURORA, S.A. DE C.V.	TURISTICA AURORA
ORS	ACTION AIR	AVIATION SERVICE
ORT	ORTAC AOC LTD	SKYWALKER
ORX	ORBIT EKSPRES HAVA YOLLARI A.S. (OREX)	OREX
ORZ	ZOREX, S.A.	ZOREX
OSC	ONESKY AVIATION SERVICES SPA (ONESKY CHILE)	UNCIELO
OSD	NAOC	SECDEF
OSJ	OSCAR JET	OSCARJET
OSL	SOSOLISO LIMITED	SOSOLISO
OSN	AEROSAN, S.A. DE C.V.	AEROSAN
OSS	SERVICIOS AEREOS NOTICIOSOS, S.A. DE C.V.	NOTICIOSOS
OST	OKLAHOMA STATE UNIVERSITY	OSTATE
OSU	OHIO STATE UNIVERSITY FLIGHT EDUCATION DIVISION (COLUMBUS, OH)	SCARLET
OSW	JETAFRICA SWAZILAND	BEVO
OSY	OPEN SKIES CONSULTATIVE COMMISSION (OSCC)	OPEN SKIES
OTA	BUSINESS AVIATIORS INC. (CASPER, WY)	OUTLAW
OTC	AIR TRAVEL CO. LTD.	AIR TRAVEL
OTF	ORANGE2FLY AIRLINES S.A.	ORANGESKY
OTG	ONE TWO GO AIRLINES CO., LTD	THAI EXPRESS
OTJ	TEN AIRWAYS	TENDER AIR
OTK	ON-TRACK AVIATION LTD	ON TRACK
OTL	SOUTH AIRLINES	SOUTHLINE
OTM	ONETIME AIRLINES ZAMBIA LIMITED	ZEDTIME
OTN	LASTP-LINHAS AEREAS DE S. TOME E PRINCIPE (SAO TOME AND PRINCIPE AIRLINES)	LASTP
OTR	ORIENT AIRLINES	ORIENTROC
OTS	AEROTRESALIA, S.A. DE C.V.	TRESALIA
OTT	OTT AIRLINES CO., LTD.	OTT AIRLINES
OUA	UNIVERSITY OF OKLAHOMA DEPARTMENT OF AVIATION (NORMAN OK)	CRIMSON
OUF	BEIJING EOFA INTERNATIONAL JET CO., LTD.	ELEMENT
OUL	OKLAHOMA AVIATION DBA SOULBIRD	SOUL BIRD
OVA	AERO NOVA	AERONOVA
OVD	STATE ATM CORPORATION	RUSSIA CORP
OVE	AEROMOVER, S.A. DE C.V.	AEROMOVER
OVV	ORIENT AIR	ORIENTSYR
OWE	OWENAIR (PTY) LTD	OWENAIR
OWI	AEROWIN, SA DE CV	AEROWIN
OWL	MIAMI VALLEY AVIATION, INC. (MIDDLETOWN, OH)	NIGHT OWL
OWN	AERO OWEN, S.A. DE C.V	AERO OWEN
OWT	TWO TAXI AEREO LTDA	BRASIL CARGO
OXF	OXFORD AVIATION ACADEMY	OXFORD
OXM	ORION (MALTA) LTD	ORION MALTA
OXS	OXUS AIRWAYS	OXUS AIRWAYS
OYA	FLY OYA INTERNATIONAL	OYAA
OYE	KODA INTERNATIONAL LTD	KODA AIR
OYO	OYONNAIR	ROGUE
OZB	PRIVATE AIRLINES SERVICES LTD	AIR PRIMUS
OZJ	OZJET AIRLINES PTY. LTD	AUSJET
OZT	PREMIER FLIGHT CENTER, LLC	OZARK TECH
OZU	KAM LUX-KZ	HOZAVI
OZW	SKYWEST AIRLINES PTY LTD	OZWEST
PAA	PAN AMERICAN AIRWAYS CORPORATION (DANIA, FL)	CLIPPER
PAB	PARAIR	PARAIR
PAC	POLAR AIR CARGO WORLDWIDE, INC. (WASHINGTON, DC)	POLAR
PAD	PROFESSIONAL EXPRESS COURIER SERVICE,INC.(SEATTLE,WA)	AIR PROFESSIONAL
PAE	PAISAJES ESPANOLES, S.A.	PAISAJES
PAF	PATHFINDER AVIATION LLC	PATHFINDER
PAG	PERIMETER AVIATION LTD.	PERIMETER
PAH	PANORAMA AIR TOUR, INC. (HONOLULU, HI)	LANI
PAI	PARADISE AIRWAYS, INC. (SMYRNA, TN)	SEA RAY
PAJ	ALIPARMA	ALIPARMA
PAK	PACIFIC ALASKA AIRLINES (FAIRBANKS, AK)	PACIFIC ALASKA
PAL	PHILIPPINE AIR LINES INC. (PAL)	PHILIPPINE
PAM	MAP LINHAS AEREAS	MAP AIR
PAO	POLYNESIAN AIRLINE OPERATIONS LTD.	POLYNESIAN
PAP	LANGTRY FLYING GROUP LTD	PROFLIGHT
PAQ	PACIFIC AIR EXPRESS (SOLOMON ISLANDS) LIMITED	SOLPAC
PAR	PACIFIC RIM AIRWAYS PTY LTD	PACRIM
PAS	PELITA AIR SERVICE, PT.	PELITA
PAT	DEPARTMENT OF THE ARMY, PRIORITY AIR TRANSPORT (DAVISON AVIATION COMMAND) (FORT BELVOIR, VA)	PAT
PAU	PALAU AIRWAYS CORP.	PALAIRWAYS
PAV	PROAIR AVIATION GMBH, FILDERSTADT	BRILLIANT
PAW	POINTAIR BURKINA	POINTAIR BURKINA
PAX	PAN AIR, INC. (HOUSTON, TX)	PANNEX
PAZ	POINT AFRIQUE NIGER SA	POINTAIR NIGER
PBA	PILBARA AIRLINES PTY. LTD.	PILBARA
PBB	POLIZEIHUBSCHRAUBERSTAFFEL BRANDENBURG, DIEPENSEE	ADEBAR
PBC	AEROTAXIS PABA, S.A. DE C.V.	PABA
PBD	POBEDA AIRLINES, LLC	POBEDA
PBF	PENNSYLVANIA BUREAU OF FORESTRY-FOREST FIRE PROTECTION (HARRISBURG , PA)	PENN-FOREST
PBN	VIRGIN AUSTRALIA AIRLINES (NZ) LTD	BLUEBIRD
PBR	FAST AIR LTD	POLAR BEAR
PBT	AIR PARABAT LTD	PARABAT
PBU	AIR-BURUNDI	AIR-BURUNDI
PBW	POLIZEIHUBSCHRAUBERSTAFFEL BADEN-WUERTTEMBERG, STUTTGART	BUSSARD
PBY	PEARL AIR SERVICES (U) LTD.	PEARL SERVICES
PCA	P.C. AIR CO., LTD	PIYO AIR
PCC	PERFORADORA CENTRAL, S.A. DE C.V.	PERFORADORA CENTRAL
PCE	PIEDMONT AVIATION SERVICES, INC. D/B/A PACE AIRLINES (WINSTON-SALEM, NC)	PACE
PCF	PACIFIC AIR EXPRESS AUSTRALIA PTY LTD	PACIFIC
PCG	AEROPOSTAL CARGO DE MEXICO, S.A. DE C.V.	POSTAL CARGO
PCH	PILATUS FLUGZEUGWERKE AG	PILATUS WINGS
PCI	PROTEA COIN GROUP (PTY) LTD T/A COIN AVIATION	PROTEA COIN
PCJ	PACIFIC JET, INC. (ANCHORAGE, AK)	PACIFIC JET
PCK	AIR PACK EXPRESS S.A.	AIRPACK EXPRESS
PCL	PINNACLE AIR GROUP (SPRINGDALE, AR)	PINNACLE GROUP
PCM	WESTAIR INDUSTRIES, INC. (CHICO, CA)	PAC VALLEY
PCN	PRINCETON AVIATION CORPORATION (PRINCETON, NJ)	PRINCETON
PCO	PACIFIC COASTAL AIRLINE	PASCO
PCP	AEROLINEA PRINCIPAL CHILE S.A.	PRINCIPAL
PCR	PEARSON AVIATION CORPORATION D/B/A PAC AIR(NASHUA,NH)	PACAIR
PCS	AIR PALACE, S.A. DE C.V.	AIR PALACE
PCT	GERMAN NAVY POLLUTION PATROL	POLLUTION PATROL
PCW	TRANS-PACIFIC ORIENT AIRWAYS INC.	PACIFIC ORIENT
PDA	PODILIA-AVIA	PODILIA
PDC	POTOMAC AIR, INC. (ARLINGTON, VA)	DISTRICT
PDD	PHILLIPS ALASKA, INC. (ANCHORAGE, AK)	PADA
PDF	PELICAN AIR SERVICES	PELICAN AIRWAYS
PDG	PLM DOLLAR GROUP LIMITED	OSPREY
PDI	AIR PARADISE (SAN JUAN, PR)	COKI
PDK	PREDANNACK (RNAS)	PREDANNACK
PDQ	P D Q AIR CHARTER, INC. (PONTIAC, MI)	DISPATCH
PDT	PIEDMONT AIRLINES, INC. D/B/A HENSON AVIATION - USAIR FLORIDA SHUTTLE - USAIR EXPRESS (SALISBURY, MD)	PIEDMONT
PDU	PURDUE UNIVERSITY	PURDUE
PDV	ELICAR S.R.L.	ELICAR
PDX	PACKAGE DELIVERY XPRESS LTD	PACKAGE EXPRESS
PDY	PEN-AVIA LTD	PENDLEY
PEA	PAN EUROPEENNE AIR SERVICE	PEA
PEB	BENDERS AIR AB	PALEMA
PEC	PROJETS AVIATION SENEGAL SAS	PASS AVIATION
PEF	PERFECT AVIATION, SA	PERFECT AVIATION
PEG	PEGASUS ELITE AVIATION, INC. (LAKE HAVASU CITY, AZ)	PEGJET
PEI	PANAMEDIA, S.L.	PANAMEDIA
PEJ	PREMIER EXECUTIVE JET	PREMIER WINGS
PEL	PENIAL AIR LIMITED	AIRPEN
PEM	PUNTA EUROPA AVIACION	AKIBA
PEN	PENINSULA AIRWAYS, INC. (ANCHORAGE, AK)	PENINSULA
PEO	PETRO AIR	PETRO AIR
PER	PETROLEUM AIR SERVICES	PAS AIR
PET	AEROTRANSPORTE PETROLERO LTDA.	AEROPETRO
PEV	ALTENRHEIN LUFTFAHRT GMBH	PEOPLES
PEX	SHELL AIRCRAFT LTD.	PECTEN
PFA	PACIFIC FLIGHT SERVICES PTE LTD	PACIFIC SING
PFC	PERFORMANCE AIR LTD	PERFORMANCE AIR
PFF	PAFFSAIR	PAFFSAIR
PFG	PAFFSAIR CARGO	PAFFSAIR CARGO
PFI	AEROLINEAS CHIHUAHUA AL PACIFICO, S.A. DE C.V.	PACIFICO CHIHUAHUA
PFL	AVIATION MATTERS, INC. (PACIFICFLYER)	PACIFICFLYER
